Assets,Return,Volatility
0 1 24 30 ,7.215,10.1871
0 1 25 30 ,7.905,10.7419
0 1 25 31 ,7.0025,10.3479
0 1 25 32 ,7.0175,10.2001
0 1 27 30 ,7.8975,11.2336
0 1 27 32 ,7.01,10.168
0 1 30 31 ,7.64,11.2033
0 1 30 32 ,7.655,11.3187
0 1 30 51 ,7.8125,10.7765
0 1 30 52 ,7.7825,11.064
0 2 24 30 ,7.4775,10.0978
0 2 25 31 ,7.265,10.3103
0 2 25 32 ,7.28,10.1757
0 2 27 31 ,7.2575,10.0912
0 2 27 32 ,7.2725,10.1499
0 2 30 31 ,7.9025,11.1601
0 2 30 32 ,7.9175,11.2883
0 2 31 32 ,7.015,10.4684
0 3 23 30 ,7.9725,10.0917
0 3 24 30 ,7.97,10.2649
0 3 25 29 ,7.71,10.0362
0 3 25 31 ,7.7575,10.5188
0 3 25 32 ,7.7725,10.4376
0 3 27 31 ,7.75,10.3747
0 3 27 32 ,7.765,10.4822
0 3 30 33 ,7.965,10.0925
0 3 31 32 ,7.5075,10.794
0 4 23 25 ,7.045,10.1726
0 4 23 30 ,7.6825,10.2717
0 4 24 25 ,7.0425,10.4297
0 4 24 30 ,7.68,10.5203
0 4 25 27 ,7.725,10.3734
0 4 25 28 ,7.2775,10.2301
0 4 25 29 ,7.42,10.377
0 4 25 31 ,7.4675,10.8714
0 4 25 32 ,7.4825,10.7221
0 4 25 33 ,7.0375,10.0571
0 4 25 51 ,7.64,10.4094
0 4 25 52 ,7.61,10.2039
0 4 27 31 ,7.46,10.6226
0 4 27 32 ,7.475,10.6566
0 4 28 30 ,7.915,10.3383
0 4 30 33 ,7.675,10.2375
0 4 30 34 ,7.8525,10.069
0 4 30 35 ,7.6975,10.0911
0 4 31 32 ,7.2175,11.0294
0 4 31 51 ,7.375,10.3044
0 4 31 52 ,7.345,10.1818
0 4 32 51 ,7.39,10.1315
0 4 32 52 ,7.36,10.1152
0 4 51 52 ,7.5175,10.304
0 5 23 30 ,7.79,10.1379
0 5 24 25 ,7.15,10.2413
0 5 24 30 ,7.7875,10.4072
0 5 25 27 ,7.8325,10.2277
0 5 25 28 ,7.385,10.044
0 5 25 29 ,7.5275,10.1922
0 5 25 31 ,7.575,10.6734
0 5 25 32 ,7.59,10.5453
0 5 25 51 ,7.7475,10.1553
0 5 27 31 ,7.5675,10.4576
0 5 27 32 ,7.5825,10.5162
0 5 30 33 ,7.7825,10.1191
0 5 31 32 ,7.325,10.8356
0 5 31 51 ,7.4825,10.0238
0 5 51 52 ,7.625,10.0026
0 6 23 30 ,7.83,10.0712
0 6 24 25 ,7.19,10.177
0 6 24 30 ,7.8275,10.3531
0 6 25 27 ,7.8725,10.1364
0 6 25 29 ,7.5675,10.1061
0 6 25 31 ,7.615,10.58
0 6 25 32 ,7.63,10.4477
0 6 25 51 ,7.7875,10.1069
0 6 27 31 ,7.6075,10.3632
0 6 27 32 ,7.6225,10.4192
0 6 30 33 ,7.8225,10.0411
0 6 31 32 ,7.365,10.7356
